site_protocol_code,site_name,latitude,longitude,elevation_in_metres,aru_deployment_date,aru_deployment_time,aru_device_id,aru_code,aru_sampling_configuration,aru_sampling_duration,timezone,aru_retrieval_date,aru_retrieval_time,memory_card_code,first_file_date,first_file_time,last_file_date,last_file_time,number_of_files,total_data_size_in_gb,notes
ANLI_MSF,Anali,10.359819,76.930576,1006,2024-02-16,13:08,24E1440360379288,MSF001,240s;60s,05:00:00 to 12:00:00,UTC+05:30,2024-03-21,12:14,MVP001,2024-02-17,5:00,2024-03-19,11:55,2688,38.45,
INJI_MSF,Injiparai,10.322553,76.928785,1102,2024-02-17,11:44,2474750763ED0680,MSF002,240s;60s,05:00:00 to 12:00:00,UTC+05:30,2024-03-26,14:37,MVP003,2024-02-17,11:45,2024-03-21,8:25,2731,39.07,
KRGM_MSF,Korangumudi,10.312577,76.909371,1092,2024-02-17,13:19,24F319016037220C,MSF003,240s;60s,05:00:00 to 12:00:00,UTC+05:30,2024-03-26,15:12,MVP005,2024-02-18,5:00,2024-03-20,11:55,2688,38.45,
OLVP_MSF,Old Valparai,10.349912,76.933355,1050,2024-02-11,15:15,24E1440163ED17E0,MSF004,240s;60s,05:00:00 to 12:00:00,UTC+05:30,2024-03-27,15:13,MVP007,2024-02-12,5:00,2024-03-13,11:55,2604,37.25,
PDTM_MSF,Pudhuthottam,10.342308,76.971729,1145,2024-02-15,11:57,24F3190863ED068D,MSF005,240s;60s,05:00:00 to 12:00:00,UTC+05:30,,,MVP009,,,,,,,recorder is missing
PERN_MSF,Periyar Nagar,10.346667,76.900935,1073,2024-02-11,13:40,248D9B0260377917,MSF006,240s;60s,05:00:00 to 12:00:00,UTC+05:30,2024-03-25,11:33,MVP011,2024-02-12,5:00,2024-03-15,11:55,2771,39.64,
PNMF_MSF,Panimade,10.297595,76.892749,1088,2024-02-17,14:35,248D9B02603720B7,MSF007,240s;60s,05:00:00 to 12:00:00,UTC+05:30,2024-03-26,11:54,MVP013,2024-02-18,5:00,2024-03-21,6:40,2705,38.7,
SLPR_MSF,Selaliparai,10.337561,76.938119,1087,2024-02-11,16:02,245AAA0563ED4367,MSF008,240s;60s,05:00:00 to 12:00:00,UTC+05:30,2024-03-27,17:04,MVP015,2024-02-12,5:00,2024-03-13,11:55,2604,37.25,
STAR_MSF,Star estate,10.37098,76.928419,896,2024-02-16,12:32,24E14403603736BE,MSF009,240s;60s,05:00:00 to 12:00:00,UTC+05:30,2024-03-21,9:50,MVP017,2024-02-17,5:00,2024-03-19,11:55,2687,38.44,
VRTP_MSF,Varattuparai,10.347224,76.920858,1065,2024-02-11,14:40,24E1440163ED069A,MSF010,240s;60s,05:00:00 to 12:00:00,UTC+05:30,2024-03-25,8:23,MVP019,2024-02-12,5:00,2024-03-14,11:55,2688,38.45,
